wl,n
0.31,1.553923347
0.3529,1.544418816
0.3958,1.537794371
0.4387,1.532976444
0.4816,1.529347097
0.5245,1.52653023
0.5674,1.524286299
0.6103,1.522456865
0.6532,1.520933742
0.6961,1.519641015
0.739,1.518524145
0.7819,1.517543129
0.8248,1.516668089
0.8677,1.515876346
0.9106,1.515150433
0.9535,1.514476723
0.9964,1.513844457
1.039,1.513249144
1.082,1.512674206
1.125,1.512119704
1.168,1.511580989
1.211,1.511054227
1.254,1.510536226
1.297,1.510024316
1.34,1.509516248
1.383,1.509010118
1.425,1.508516073
1.468,1.508009224
1.511,1.507500133
1.554,1.506987768
1.597,1.50647123
1.64,1.505949739
1.683,1.505422612
1.726,1.504889251
1.769,1.504349128
1.812,1.503801779
1.854,1.503259789
1.897,1.502696989
1.94,1.502125867
1.983,1.501546132
2.026,1.500957522
2.069,1.500359805
2.112,1.499752769
2.155,1.499136224
2.198,1.49851
2.241,1.497873941
2.283,1.497243046
2.326,1.496587146
2.369,1.495921029
2.412,1.495244589
2.455,1.49455773
2.498,1.493860363
2.541,1.493152406
2.584,1.492433785
2.627,1.491704431
2.67,1.490964282
2.712,1.490230868
2.755,1.489469212
2.798,1.4886966
2.841,1.487912987
2.884,1.48711833
2.927,1.486312589
2.97,1.485495728
3.013,1.484667714
3.056,1.483828514
3.099,1.4829781
3.141,1.482136609
3.184,1.481263947
3.227,1.480379993
3.27,1.479484726
3.313,1.478578125
3.356,1.477660169
3.399,1.476730841
3.442,1.475790124
3.485,1.474838001
3.528,1.473874457
3.57,1.472922281
3.613,1.47193612
3.656,1.470938498
3.699,1.469929402
3.742,1.468908823
3.785,1.467876749
3.828,1.46683317
3.871,1.465778077
3.914,1.46471146
3.957,1.463633313
3.999,1.462569098
4.042,1.461468132
4.085,1.460355611
4.128,1.45923153
4.171,1.458095881
4.214,1.456948658
4.257,1.455789855
4.3,1.454619468
4.343,1.45343749
4.386,1.452243917
4.428,1.451066903
4.471,1.449850395
4.514,1.448622277
4.557,1.447382547
4.6,1.4461312
