primted,,actual,,,,,,,,,,9
18,,17.72,,9.5655,9.6392,9.6418,9.6449,primary,100,,9.6632,9.6792
27,,26.52,,std,5.00E-03,,,secondary,50,10000,10000(ferrite),
,,,,,,,,,,,,
Air as core,,,,,,,,,,,,
frequency,type,Vp,Ip,Vs,Is,Std Vp,Std Vs,Pp,Ps,Std Pp,StdPs,Effeciency/%
500,1,1.85E-01,5.50E-01,1.93E-02,5.21E-04,2.61E-03,2.62E-04,1.02E-01,1.00E-05,1,1,9.83E-03
500,2,1.60E-01,5.49E-01,5.43E-02,2.05E-03,2.04E-04,2.45E-04,8.79E-02,1.11E-04,1,1,1.26E-01
1000,1,2.00E-01,0.551,3.17E-02,1.96E-03,2.54E-03,2.59E-04,1.10E-01,6.23E-05,1,1,5.64E-02
1000,2,2.25E-01,0.55666,1.01E-01,3.80E-03,2.87E-03,2.52E-04,1.25E-01,3.83E-04,1,1,3.06E-01
2000,1,2.29E-01,0.557,4.59E-02,1.73E-03,3.53E-03,5.41E-04,1.27E-01,7.93E-05,1,1,6.23E-02
2000,2,2.48E-01,0.5583,1.18E-01,4.44E-03,2.75E-03,2.14E-04,1.39E-01,5.23E-04,1,1,3.77E-01
5000,1,2.54E-01,0.5596,5.78E-02,2.18E-03,2.52E-03,2.58E-04,1.42E-01,1.26E-04,1,1,8.88E-02
5000,2,2.70E-01,0.56149,1.38E-01,5.22E-03,2.79E-03,4.24E-04,1.52E-01,7.22E-04,1,1,4.75E-01
