mean freq/kHz,Ratio,Freq Uncertainty (kHz)
0.04,0.957575758,0.0395
5.824517147,0.973684211,0.075
11.6498927,1.167785235,0.05
17.42483859,0.946308725,0.075
23.2248789,0.893333333,0.075
29.12498927,0.957446809,0.025
34.79996408,0.856164384,0.05
40.4499691,0.886524823,0.05
46.09997289,0.806896552,0.05
51.72499396,0.939393939,0.025
57.07499452,0.908396947,0.025
62.54998002,0.728571429,0.05
67.77499539,0.825757576,0.025
73.14998291,0.704545455,0.05
78.02499599,0.828333333,0.025
83.04998495,0.655639098,0.05
87.82499644,0.831034483,0.025
92.32499662,0.808695652,0.025
96.77499677,0.655905512,0.025
101.3249969,0.535714286,0.025
105.574997,0.573333333,0.025
109.7749972,0.504444444,0.025
113.65,0.601754386,0
117.0749973,0.596396396,0.025
120.4,0.515384615,0
123.9249975,0.338518519,0.025
127.0249975,0.313970588,0.025
130.1999904,0.218709677,0.05
